ID,name,community,primary_house,region
A_certain_man,A certain man,0,,
Abelar_Hightower,Abelar Hightower,1,House_Hightower,Reach
Abelon,Abelon,2,Citadel,Order
Addam_Frey,Addam Frey,1,House_Frey,Riverlands
Addam_Hightower,Addam Hightower,9,House_Hightower,Reach
Addam_Marbrand,Addam Marbrand,4,House_Marbrand,Westerlands
Addam_Osgrey,Addam Osgrey,1,House_Osgrey,Reach
Addam_Velaryon,Addam Velaryon,2,House_Velaryon,Crownlands
Addam_Whitehead,Addam Whitehead,0,House_Whitehead,Stormlands
Addison_Hill,Addison Hill,9,House_Swyft,Westerlands
Adrack_Humble,Adrack Humble,12,House_Greyjoy,Iron_Islands
Adrian_Redfort,Adrian Redfort,2,House_Redfort,Vale
Adrian_Tarbeck,Adrian Tarbeck,2,House_Tarbeck,Westerlands
Adrian_Thorne,Adrian Thorne,2,House_Thorne,Crownlands
Aegon_Ambrose,Aegon Ambrose,9,House_Ambrose,Reach
Aegon_Blackfyre,Aegon Blackfyre,1,House_Blackfyre,Crownlands
Aegon_Frey_(son_of_Stevron),Aegon Frey,4,House_Frey,Riverlands
Aegon_I_Targaryen,Aegon I Targaryen,9,House_Targaryen,Crownlands
Aegon_II_Targaryen,Aegon II Targaryen,2,House_Hightower,Reach
Aegon_III_Targaryen,Aegon III Targaryen,2,House_Targaryen,Crownlands
Aegon_IV_Targaryen,Aegon IV Targaryen,1,House_Rogare,Essos
Aegon_V_Targaryen,Aegon V Targaryen,1,House_Dayne,Dorne
Aegon_Targaryen_(son_of_Gaemon),Aegon Targaryen,6,House_Targaryen,Crownlands
Aegon_Targaryen_(son_of_Aenys_I),Aegon Targaryen,9,House_Targaryen,Crownlands
Aegon_Targaryen_(son_of_Jaehaerys_I),Aegon Targaryen,9,House_Targaryen,Crownlands
Aegon_Targaryen_(son_of_Baelon),Aegon Targaryen,9,House_Targaryen,Crownlands
Aegon_Targaryen_(son_of_Aerys_II),Aegon Targaryen,7,House_Targaryen,Crownlands
Aegon_Targaryen_(son_of_Rhaegar),Aegon Targaryen,7,House_Targaryen,Crownlands
Aegor_Rivers,Aegor Rivers,1,House_Bracken,Riverlands
Aelinor_Penrose,Aelinor Penrose,12,House_Penrose,Stormlands
Aelor_Targaryen,Aelor Targaryen,1,House_Targaryen,Crownlands
Aelora_Targaryen,Aelora Targaryen,1,House_Targaryen,Crownlands
Aemma_Arryn,Aemma Arryn,2,House_Arryn,Vale
Aemon_Blackfyre,Aemon Blackfyre,1,House_Blackfyre,Crownlands
Aemon_Costayne,Aemon Costayne,0,House_Costayne,Reach
Aemon_Estermont,Aemon Estermont,0,House_Estermont,Stormlands
Aemon_Steelsong,Aemon Steelsong,12,Mance_Rayder,Beyond_the_Wall
Aemon_Targaryen_(son_of_Jaehaerys_I),Aemon Targaryen,9,House_Targaryen,Crownlands
Aemon_Targaryen_(son_of_Viserys_II),Aemon Targaryen,1,House_Targaryen,Crownlands
Aemon_Targaryen_(son_of_Maekar_I),Aemon Targaryen,12,House_Targaryen,Crownlands
Aemond_Targaryen,Aemond Targaryen,2,House_Targaryen,Crownlands
Aenys_Blackfyre,Aenys Blackfyre,1,House_Blackfyre,Crownlands
Aenys_Frey,Aenys Frey,4,House_Frey,Riverlands
Aenys_I_Targaryen,Aenys I Targaryen,9,House_Targaryen,Crownlands
Aerea_Targaryen,Aerea Targaryen,9,House_Targaryen,Crownlands
Aerion_Targaryen,Aerion Targaryen,1,House_Targaryen,Crownlands
Aerion_Targaryen_(son_of_Daemion),Aerion Targaryen,9,House_Targaryen,Crownlands
Aeron_Greyjoy,Aeron Greyjoy,8,House_Greyjoy,Iron_Islands
Aerys_Targaryen_(son_of_Aegon),Aerys Targaryen,6,House_Targaryen,Crownlands
Aerys_I_Targaryen,Aerys I Targaryen,1,House_Martell,Dorne
Aerys_II_Targaryen,Aerys II Targaryen,7,House_Targaryen,Crownlands
Aerys_II_Targaryen's_last_mistress,Aerys II Targaryen's last mistress,7,House_Targaryen,Crownlands
Aethan,Aethan,12,Night's_Watch,Order
Aethan_Velaryon,Aethan Velaryon,9,House_Velaryon,Crownlands
Aethelmure,Aethelmure,12,Citadel,Order
Aggar,Aggar,12,House_Greyjoy,Iron_Islands
Aggo,Aggo,7,Drogo,Essos
Aglantine,Aglantine,0,Faith_of_the_Seven,Order
Agnes_Blackwood,Agnes Blackwood,3,House_Blackwood,Riverlands
Agramore_Cobb,Agramore Cobb,2,Kingsguard,Order
Aladale_Wynch,Aladale Wynch,12,House_Wynch,Iron_Islands
Alan_of_Rosby,Alan of Rosby,12,Night's_Watch,Order
Alan_Beesbury,Alan Beesbury,2,House_Beesbury,Reach
Alan_Tarly,Alan Tarly,2,House_Tarly,Reach
Alannys_Harlaw,Alannys Harlaw,12,House_Greyjoy,Iron_Islands
